,keyword,title,author,body,time,date,status,votes,num_comments,num_comment_pages,link,lang
0,implemented,[Mobile] Click lyric to go to lyric time,marcosw,To be able to go to the lyric part of a song and click/tap on a verse and get sent to it directly. Meaning if you click a lyric that plays at the one minute mark you get taken to the one minute mark and it continues playing.,02:43 AM,‎2022-02-08,,311,10,1,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Click-lyric-to-go-to-lyric-time/idi-p/5340042?search-action-id=342735444271&search-result-uid=5340042,en
1,implemented,"[Mobile][Your Library] ""Spotify Playlists"" folder",Peter,"Idea: Create a separate folder in Your Library (similar to Your Episodes for podcasts - see screenshot) where all your Spotify editorial playlists are saved when liked. Use case: I'm a heavy mobile app user and I have liked countless numbers of Spotify playlists, but I don't have an easy way of finding and organising them. Instead of users having to do so manually, Spotify could create a separate directory where, every time I like a Spotify playlist, it is automatically saved under it. It could simply be called ""Spotify Playlists"". Currently (as of Spotify for Android version 8.6.88.1104), you can go to Your Library, filter by Playlists and sort by Creator, and scroll down to S to see a list of your saved Spotify playlists. However, the advantage of having a separate directory (in addition to ease of use) is that it would be able to have additional features and sorting capability (e.g. by genre/mood, similar to Liked Songs).",08:52 AM,‎2022-01-04,,102,10,1,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Your-Library-quot-Spotify-Playlists-quot-folder/idi-p/5322875?search-action-id=342735444271&search-result-uid=5322875,en
2,implemented,[AutoPlay] Option to toggle Autoplay on/off across all devices/platforms,nirshtuhl,The Autoplay setting isn't working for connected devices and the web player. We need the Autoplay setting to work the same as it does on desktop and when playing on the phone.,07:39 PM,‎2021-10-26,,1667,370,37,https://community.spotify.com/t5/Implemented-Ideas/AutoPlay-Option-to-toggle-Autoplay-on-off-across-all-devices/idi-p/5283776?search-action-id=342735444271&search-result-uid=5283776,en
3,implemented,[All Platforms] Support for Apple Shareplay,jtylerhartley,"I would love to see Spotify adopt support for Apple's new Shareplay feature. Apple Shareplay would allow someone to share music over Facetime. Assuming this is implemented, it would add a whole new level of connectivity to Spotify. - SharePlay - Apple Developer Update- Shareplay works if you're using iOS 15.1/iPadOS 15.1+ and Spotify app version 8.6.78+ (Support Article: Spotify on SharePlay - Spotify)- Shareplay has yet to be supported on MacOS.",07:32 PM,‎2021-10-25,,106,10,1,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Support-for-Apple-Shareplay/idi-p/5283212?search-action-id=342735444271&search-result-uid=5283212,en
4,implemented,[Desktop][Playlists] Enhance Playlist on Desktop,caduceusmi7,"Please introduce the Enhance Playlist on Desktop, I see only the original not-enhanced playlist on Desktop.",03:22 PM,‎2021-10-21,,620,40,4,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Playlists-Enhance-Playlist-on-Desktop/idi-p/5281054?search-action-id=342735444271&search-result-uid=5281054,en
5,implemented,"[Discover] Please add a ""Not Interested"" Button",jasonedokpa,"As the title suggests, it would be useful if Spotify had a ""not interested"" button like YouTube does for videos. I have been using Spotify for many years and still receive a lot of recommendations for playlists and podcasts that I am simply not interested in. One such example is ""Learn Korean and Korean Culture"" by jerry. I have no interest in learning Korean whatsoever, so it would be useful for me to remove recommendations such as these.",10:49 AM,‎2021-10-11,,3617,190,19,https://community.spotify.com/t5/Implemented-Ideas/Discover-Please-add-a-quot-Not-Interested-quot-Button/idi-p/5275001?search-action-id=342735444271&search-result-uid=5275001,en
6,implemented,[iOS][Developer] full lyrics while listening to songs designed in a clean Spotify themed animation,SarpG,"I feel that instead of just having behind the lyrics, having a full page of animated lyrics would make the listening experience for any song a lott better. There could be specific animations relating to the specific song you are listening to atm. Idk could be dope",10:07 PM,‎2021-09-26,,290,20,2,https://community.spotify.com/t5/Implemented-Ideas/iOS-Developer-full-lyrics-while-listening-to-songs-designed-in-a/idi-p/5266324?search-action-id=342735444271&search-result-uid=5266324,en
7,implemented,[Desktop][Other] Let us choose to pin (or don't) the song details on fullscreen mode,MrScottyTay,"It's came to my attention that over the weekend a new change got added to the fullscreen mode on the desktop app that now makes that album art, song name and artist name fade away (plus finally adding a volume control on full screen - which is great by the way). This change pretty much breaks the usability of full screen for me now as Full Screen mode was a way for everyone in the office able to see what song is currently playing, but now we just get a darkened artist image at best, at worst it's just a grey gradient background for those songs by artists without images. This makes the whole experience pretty awful in my opinion. At the very least there should be a way to pin that information at all times for those of us that like to be able to see that information at a glance.",09:13 AM,‎2021-08-23,,467,90,9,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Other-Let-us-choose-to-pin-or-don-t-the-song-details-on/idi-p/5251462?search-action-id=342735444271&search-result-uid=5251462,en
8,implemented,[Mobile][Other] Lyrics Sharing,arkangel-glitch,"Hello! Here's my idea! One of the best parts about listening to songs is that it reminds you of things, people, places, memories, pretty much anything! Especially song lyrics, right? Sometimes a whole song can remind you of someone but more often than not, it's a couple of lyrics that hits the mark! Imagine how nice it would be if there was a feature that enabled you to share a single line, or a stanza alone from a whole song to someone! It would be a more accurate dedication of a song to someone and we won't need to worry about having to listen to the whole song >_< Something to definitely try out. There could be an option to send out the lyrics through other social media apps! The prompt could read, 'Vizz(name) has dedicated these lyrics to you' OR 'Vizz(name) was reminded of you when listening to (song)' Well, that's basically IT! Thank you for reading!",09:00 AM,‎2021-07-21,,34,20,2,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Other-Lyrics-Sharing/idi-p/5237636?search-action-id=342735444271&search-result-uid=5237636,en
9,implemented,Lyrics on Fullscreen,farisghazali,Lyrics on fullscreen would be great if you want to use it to have karaoke session with friends or use it as a background for your tv or second screen!! The background for the fullscreen with lyrics can be the album/song art or the existing artist picture. (optional) Ability to show lyrics for the full half-screen without the left-side toolbar. Would also recommend to have option to enable/disable the lyrics in fullscreen for other community users preferences.,05:23 PM,‎2021-06-30,,218,40,4,https://community.spotify.com/t5/Implemented-Ideas/Lyrics-on-Fullscreen/idi-p/5229221?search-action-id=342735444271&search-result-uid=5229221,en
10,implemented,[Playlists] Limit Editing Access in Collaborative Playlists,spot41,"This problem has already been addressed in other ideas quite a few times, so I'll make it brief. At the moment, anyone can edit a collaborative playlist. There are numerous ways to solve this, e.g. granting the creator the right to put people on blacklists or whitelists. Another easy fix that might be a separate link for the creator to share only with persons who shoud be able to add and delete song! It would already help a lot 🙂",02:45 PM,‎2021-05-20,,737,100,10,https://community.spotify.com/t5/Implemented-Ideas/Playlists-Limit-Editing-Access-in-Collaborative-Playlists/idi-p/5208607?search-action-id=342735444271&search-result-uid=5208607,en
11,implemented,"[Mobile][Your Library] Separate Sorting Options For Each ""Your Library"" Category",Spaceboy88,"The current ""Your Library"" sorting is limited to just one choice, but I would prefer different sorting options for each thing. For example, I would like my playlists to sort by ""Recently Played,"" but Artists by ""Alphabetical"" and albums by ""Recently Added."" The current setup just allows for one filter that carries across all areas, and if you change it for one, it changes for all. Please allow for separate sorting options for each Library Category (Playlists, Artists, Albums, Podcasts & Shows) that are remembered for each view.",10:58 PM,‎2021-05-18,,37,10,1,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Your-Library-Separate-Sorting-Options-For-Each-quot-Your/idi-p/5207291?search-action-id=342735444271&search-result-uid=5207291,en
12,implemented,Please bring back the Enhance button,Jamessinclair,"For a few weeks there was an option to enhance Spotify playlists, where songs similar to your taste would be added. I enjoyed this feature and think it should be brought back.",07:27 PM,‎2021-04-27,,222,30,3,https://community.spotify.com/t5/Implemented-Ideas/Please-bring-back-the-Enhance-button/idi-p/5195222?search-action-id=342735444271&search-result-uid=5195222,en
13,implemented,Auto-delete played and/or downloaded podcast episodes,tmoody,"This suggestion has been posted before, but it needs to be suggested again until it is implemented.There absolutely needs to be an option to delete played episodes from the episode list. Not everyone will use this, but many will, and it's considered basic functionality on other podcast software by now. The same option should exist for downloaded episodes.If Spotify wants to compete with established podcast software, they need to at least match the basic feature set. This is not a ""bells and whistles"" kind of feature.",02:27 PM,‎2021-04-15,,276,40,4,https://community.spotify.com/t5/Implemented-Ideas/Auto-delete-played-and-or-downloaded-podcast-episodes/idi-p/5188815?search-action-id=342735444271&search-result-uid=5188815,en
14,implemented,[Desktop] Do not limit queue visibility to 50 for manual additions,Betjeman,"The new desktop experience should behave how the queue previously worked.When you manually add tracks, they should not disappear once the queue length reaches 50. All manually added tracks should display.My use case is: In the morning, I queue up a bunch of albums for the entire day so I can concentrate on work and not have to bother choosing tracks throughout the day. With a visible limit of 50 this becomes very difficult and frustrating. The limit is arbitrary as playlists can still display the full number of tracks.I don't want to have to create a playlist for this as I have still have a playlist running in case the queue runs out.I can't help feeling this is an oversight and it shouldn't be hard to resolve.",09:05 AM,‎2021-04-09,,175,60,6,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Do-not-limit-queue-visibility-to-50-for-manual-additions/idi-p/5184497?search-action-id=342735444271&search-result-uid=5184497,en
15,implemented,[Desktop] Put the Liked Songs back under each band's/artist's page for the desktop app,LokiX21,"Not sure why it was even changed in the first place, but yeah... the new user interface for the desktop app is really inefficient, frustrating, and ultimately a deal breaker in its altering how the songs that you've liked are accessed.More specifically... taking them off of each individual band's/artist's page where it previously only took a few seconds to find and play a song that you liked through the green heart mechanism was a bad idea/move.Furthermore... throwing them all together into a single play list is an even worse idea/move given that it now takes so long trying to scroll up and down through thousands of liked songs while trying to find whatever it is you're specifically looking for that you are better off just giving up trying to use the desktop app and switching over to the mobile/tablet Spotify app that still has your liked songs listed under the artist page, or just straight up ditching Spotify completely and looking up the song on YouTube, Bandcamp, etc.With that... and as someone who has ever-present tinnitus in both ears from my time serving in the military that in turn makes being able to use the Spotify desktop app to listen to music through headphones that are of high-enough quality to actually be capable of drowning out the constant ringing in my ears (and in turn desktop-dependent) super important in maintaining my sanity/mental health...I damn near beg whoever is in charge of such to re-implement the layout of the previous user interface so that the Liked Songs are moved back to the individual Artist's page as its removal with the new user interface has pretty much killed off my being able to even use the new Spotify desktop app at all (and in turn the aforementioned high quality headphones that I am dependent upon).Additionally... might I add that putting the ""About"" section of each artist's page at the very bottom instead of at the very top of it is also a bad move in that having actual info about the artist listed as the very last thing on their page is really inefficient (if not disrespectful) given that it comes after other artist's work is recommended before you can even read about the artist whose page you clicked on to check out in the first place.With that... I'd not only recommend returning the Liked Songs to each Artist's page, but also recommend structuring their pages so that it is presented in the following and more efficient order...1) the About section;2) the Liked Songs section;3) the Popular songs section;4) the Discography section;5) the Offers section;6) the Artist Playlists section;7) the Featuring section;😎 the Fans also like section.I hope that whatever powers that be within the Spotify decision-making hierarchy that actually see this seriously consider, and really... just start straight up making moves to get the ball rolling on having at least the Like Songs (re)implemented to each Artist page, because if not... people such as myself that are a heavy, heavy users of the desktop app are highly likely to start transitioning to some other means of efficiently listening to the music that they love, which is something that I really hope I don't have to do after having already invested hundreds (if not thousands) of hours into piecing together a music library that serves as a key (if not primary) component of maintaining my sanity/mental health.Sincerely,L",03:14 AM,‎2021-04-04,,175,30,3,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Put-the-Liked-Songs-back-under-each-band-s-artist-s-page/idi-p/5181258?search-action-id=342735444271&search-result-uid=5181258,en
16,implemented,[Desktop][Playlists] Paste Songs in Playlist at Specific Point,brayden1121,With the new UI update the ability to paste songs at a certain point in a playlist seems to be missing. I have some pretty long playlists that I use custom ordering with. Having the ability to paste songs I recently added to it at a certain point was really helpful. This allowed me to highlight a song near where I wanted the new songs to go and when I pasted the cut songs would be pasted right below it. This saved a lot of time because I didn't need to drag songs from the bottom of the playlist after they were added through the playlist for minutes at a time. This was a great feature and I hope something to replace it or the feature is reinstated. It appears that right now when I try to do this the songs are pasted at the end of the playlist. I have not found a new feature or workaround to this at the moment. This idea implies the existence of the ability to cut rather than just copy songs in a playlist as well so I didn't feel the need to create a separate idea post for that feature. This also doesn't have to be exactly as I described it. A way to move songs to a certain point in a playlist in any way is just what I am looking for. I know the UI is brand new so these are probably just the growing pains but I'd love to see this feature added at some point. Thanks!,02:20 PM,‎2021-03-31,,153,30,3,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Playlists-Paste-Songs-in-Playlist-at-Specific-Point/idi-p/5179050?search-action-id=342735444271&search-result-uid=5179050,en
17,implemented,[Playlists] Save Daily Mix as New Playlist,Ninnas,"I've seen this suggestion pop up before but it didn't get enough kudos. Still, I'll repost it again in case it catches on! Sometimes the daily mix algorithm REALLY hits the spot and matches songs perfectly. And then I just want to save it without manually adding every song to a custom playlist. Like right now. And you know it, I'm adding the songs one by one to a playlist because algorithm did good and I don't want to lose it once it refreshes tomorrow. But what if I don't have the time for that? One tap could spare me the pain. As the Daily Mix algorithm gets better, I'm sure many of us are gonna start feeling this way soon.",10:48 PM,‎2021-03-30,,166,30,3,https://community.spotify.com/t5/Implemented-Ideas/Playlists-Save-Daily-Mix-as-New-Playlist/idi-p/5178649?search-action-id=342735444271&search-result-uid=5178649,en
18,implemented,"[Desktop] Please bring back ""Discovered by...."" playlist list when looking at artist profiles.",awesometunes,"This was such a great way to discover playlists and similar artists based on the artist you are looking at.I don't see any benefit of removing this feature.But, the latest update as of now has it removed. Before, you can go to an artist profile, under the ""about section"", the right side showed some playlists the artist is featured in (usually the top 5 playlists that this artist has the most plays from). Please bring this back. Thanks.",08:01 PM,‎2021-03-30,,127,30,3,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Please-bring-back-quot-Discovered-by-quot-playlist-list/idi-p/5178561?search-action-id=342735444271&search-result-uid=5178561,en
19,implemented,[Desktop][Podcasts] Filtered by unplayed episodes,Admiral446,"I noticed with the latest update that the 'Filtered by' unplayed episodes has been removed. If a podcast has over 100episodes it can be a bit annoying to scroll all the way down to the ep I'm up to. I can sort it from old to new, but I want to hide/archive the eps I've listened to please. Not everyone is up to the latest episode and if you sub to an old podcast with lots of eps, you really need this feature. Just hitting play from the overview screen will play the latest/oldest (whatever the first file in the list is). If old eps where archived it could play the one I'm up to (as long as it remembers to sort old to new).",10:24 AM,‎2021-03-29,,338,70,7,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Podcasts-Filtered-by-unplayed-episodes/idi-p/5177779?search-action-id=342735444271&search-result-uid=5177779,en
20,implemented,[Desktop][Other] Return the option to hide media keys overlay,Lavrent,"There have been a convenient setting in the previous version of the desktop app which allowed to hide overlay while using media keys. But, for some reason, it was removed in the latest version of the app (using 1.1.55.498.gf9a83c60-a currently). I sincerely cannot understand the reason of removing this option, so I suggest returning it to the latest desktop app.",01:54 PM,‎2021-03-27,,53,20,2,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Other-Return-the-option-to-hide-media-keys-overlay/idi-p/5176974?search-action-id=342735444271&search-result-uid=5176974,en
21,implemented,[Desktop][Podcasts] ''Your episodes'' available on desktop,srzeid2000,"I love the ""my episodes"" feature on IOS which lets you save podcast episodes for later. However, why doesn't this exist on Mac? It is so annoying to find all these cool episodes and then I can't save them! Please make ""my episodes"" a feature on Mac Spotify. Thanks!",09:55 PM,‎2020-12-31,,142,20,2,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Podcasts-Your-episodes-available-on-desktop/idi-p/5101965?search-action-id=342735444271&search-result-uid=5101965,en
22,implemented,(Podcasts) You should be able to share a specific time stamp when sharing pods,macksbee,"So that whoever you share it with can start listening at the moment you want them to hear, not just the beginning of the pod. Youtube does this when you share videos, you can share the link and have it jump to a specific time stamp.",02:22 PM,‎2020-12-06,,21,10,1,https://community.spotify.com/t5/Implemented-Ideas/Podcasts-You-should-be-able-to-share-a-specific-time-stamp-when/idi-p/5087661?search-action-id=342735444271&search-result-uid=5087661,en
23,implemented,[All Platforms] Spotify for Maldives,ayshlamha,"Hey there,I’m a user from Maldives who had previously been living in a country where Spotify was available to use with no issues. However, I would like to keep using Spotify in Maldives and like myself, there are many users in Maldives who would like to be given the opportunity to use Spotify as their preferred listening platform, who are willing to pay to subscribe to Spotify Premium and use the service as well. Please make it available for us too!",06:40 AM,‎2020-12-03,,142,10,1,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Spotify-for-Maldives/idi-p/5084877?search-action-id=342735444271&search-result-uid=5084877,en
24,implemented,[Desktop][Playlists] Please bring back the Hide this Song Option and I dont like this song/ artist,user-removed,"Please bring back the ""I don't like this song/hide this song"" that was next to the heart sign cause it was very convenient and easier to control the likes or don't of your recommendations and control the playlist from all my devices available instead of going to queue every time to remove it temporary. Also the I don't like this artist/song that was available on the release radar playlist. Thank You . Update: Spotify brought it back on version (1.1.48.625.g1c87c7f7-a) so does listen! Thank you!",07:40 AM,‎2020-11-24,,249,50,5,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Playlists-Please-bring-back-the-Hide-this-Song-Option/idi-p/5077951?search-action-id=342735444271&search-result-uid=5077951,en
25,implemented,[Desktop] Add support for Apple Silicon (ARM64 on Mac),stogdan,"Feature request: Add support for Apple Silicon in a future Spotify release on Mac OS. Apple have recently released a new generation of Macs based on their own Apple Silicon. I hope that Spotify will prioritize native support for this new CPU architecture. If so the best music platform on the Mac, will continue running great natively on the new generation Mac hardware.",02:28 PM,‎2020-11-11,,3192,520,52,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Add-support-for-Apple-Silicon-ARM64-on-Mac/idi-p/5069922?search-action-id=342735444271&search-result-uid=5069922,en
26,implemented,Spotify in Brunei Darussalam,asdf137,"Hello,This post is my attempt as a Bruneian to reach out to Spotify to make Brunei as one of the location for Spotify's service to be available. Most Bruneians here resorts on using VPN to neighboring country and I believe that's not what you guys want. I hope we dont get any other ""not enough kudos"" as it is not a fair voting system when not alot of us are aware of the voting system.",02:16 PM,‎2020-10-25,,337,10,1,https://community.spotify.com/t5/Implemented-Ideas/Spotify-in-Brunei-Darussalam/idi-p/5060126?search-action-id=342735444271&search-result-uid=5060126,en
27,implemented,[All Platforms][Podcasts] Podcasts in Egypt,RM_5,Make podcasts available in Egypt.,09:51 PM,‎2020-10-14,,292,30,3,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Podcasts-Podcasts-in-Egypt/idi-p/5053352?search-action-id=342735444271&search-result-uid=5053352,en
